Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
KITCHEN HELPER,"₱15,860.00","QUALIFICATION:- Male- At least 1-2 years work experience- Preferably residing in Pasay Area- Knowledgeable about various cuts of meat and proper cooking techniques.- Proven experience helping in kitchen settings.- The ability to safely use kitchen equipment and appliances.- Knowledge with food safety standards and procedures., - Male, - At least 1-2 years work experience, - Preferably residing in Pasay Area, - Knowledgeable about various cuts of meat and proper cooking techniques., - Proven experience helping in kitchen settings., - The ability to safely use kitchen equipment and appliances., - Knowledge with food safety standards and procedures., ",BESCHOLAR MANPOWER SERVICES INC.,"PASAY CITY, NCR, FOURTH DISTRICT",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; HOTELS AND RESTAURANTS,200 and over (Large),Educ level not specified,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/kitchen-helper-1046070
ANIMAL TECHNICIAN,Salary not specified,Graduate of Agriculture major in Animal Science/Animal Husbandry or related courses,"NEW PANAY AGRI-VENTURES DEVELOPMENT, INC.","PAVIA, ILOILO",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/animal-technician-1046069
WAITRESS,"₱15,860.00","Position: WAITRESSLocation: Hobbies Of Asia Building, Macapagal blvd, Pasay City.QUALIFICATIONS:- 19 to 26 years old- Pleasing Personality- With or without experience- Can start AsapNote: WITH FREE MEAL, Location: Hobbies Of Asia Building, Macapagal blvd, Pasay City., QUALIFICATIONS:, - 19 to 26 years old, - Pleasing Personality, - With or without experience, - Can start Asap, Note: WITH FREE MEAL, , ",BESCHOLAR MANPOWER SERVICES INC.,"PASAY CITY, NCR, FOURTH DISTRICT",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; HOTELS AND RESTAURANTS,200 and over (Large),Educ level not specified,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/waitress-1046062
PRODUCTION WORKER,Salary not specified,With or without experience are welcome to apply,"CEBU GENERAL SERVICES, INC.","COMPOSTELA, CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/production-worker-1046061
SALES EXECUTIVE,Salary not specified,Undergraduate/Graduate of any course.Preferably with a sales background.Experience in a car dealership is an advantage.Good customer relations and communication skills.,NXT MILE MOTOR INC.,"SILANG, CAVITE","TRANSPORT, STORAGE AND COMMUNICATION",100 - 199 (Medium),GRADE XII (FOR K TO 12),Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-executive-1046060
CHEF,₱0.00,"QUALIFICATIONS- Prepare all food items as directed in a sanitary and timely manner- Follow recipes and presentation specifications. Operate standard kitchen equipment safety and efficiently- oversee the daily food preparation at restaurants and other places where food is served- direct kitchen staff and handle any food-related concerns- Knowledgeable in making and preparing ramen noodles- Vast knowledge on different meat cuts, meat quality and preparation- Willing to clean the working station in the Kitchen before and after used, - Prepare all food items as directed in a sanitary and timely manner, - Follow recipes and presentation specifications. Operate standard kitchen equipment safety and efficiently, - oversee the daily food preparation at restaurants and other places where food is served, - direct kitchen staff and handle any food-related concerns, - Knowledgeable in making and preparing ramen noodles, - Vast knowledge on different meat cuts, meat quality and preparation, - Willing to clean the working station in the Kitchen before and after used, ",BESCHOLAR MANPOWER SERVICES INC.,"PASAY CITY, NCR, FOURTH DISTRICT",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; HOTELS AND RESTAURANTS,200 and over (Large),Educ level not specified,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/chef-1046058
HUMAN RESOURCE DEVELOPMENT SPECIALIST,Salary not specified,"4-year course graduateKnowledgeable in all mandatory government benefits administration, i.e., SSS/HDMF/PHIC.Experience in managing government/statutory reports.Experienced in HR Tools and processes, , ",YTO EXPRESS (PHILIPPINES) TECHNOLOGY GROUP CORPORATION,"TAGUIG CITY, NCR, FOURTH DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",10 - 99 (Small),4TH YEAR COLLEGE LEVEL,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-specialist-1046055
HUMAN RESOURCE DEVELOPMENT SPECIALIST,Salary not specified,"	4-year course graduate Knowledgeable in all mandatory government benefits administration, i.e., SSS/HDMF/PHIC.	Keep an open mind and strategic mindset for sourcing and engaging talents	Experienced in HR Tools and processes,  Knowledgeable in all mandatory government benefits administration, i.e., SSS/HDMF/PHIC., 	Keep an open mind and strategic mindset for sourcing and engaging talents, 	Experienced in HR Tools and processes, ",YTO EXPRESS (PHILIPPINES) TECHNOLOGY GROUP CORPORATION,"MARILAO, BULACAN","TRANSPORT, STORAGE AND COMMUNICATION",10 - 99 (Small),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-specialist-1046054
INFORMATION TECHNOLOGY (IT) SPECIALIST,Salary not specified,"4 year course Graduate in Computer Science, Information Technology or any related field is required.Strong analytical, diagnostic, and problem-solving skills.Good communication ability, both written and verbal.Proficient in MS Office and several programming languagesKnowledge in networking principles and operating systems.",YTO EXPRESS (PHILIPPINES) TECHNOLOGY GROUP CORPORATION,"CARMONA, CAVITE","TRANSPORT, STORAGE AND COMMUNICATION",10 - 99 (Small),COLLEGE GRADUATE,Job type not specified,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/information-technology-it-specialist-1046053
DELIVERY DRIVER,Salary not specified,"	At least High-school graduate	Can work under extreme weather conditions.	Maintains high level of Integrity	With valid professional driver’s license up to 2 restriction code preferred	Must own a motorcycle	Similar experienced preferred but not required., 	Can work under extreme weather conditions., 	Maintains high level of Integrity, 	With valid professional driver’s license up to 2 restriction code preferred, 	Must own a motorcycle, 	Similar experienced preferred but not required., ",YTO EXPRESS (PHILIPPINES) TECHNOLOGY GROUP CORPORATION,"TAGUIG CITY, NCR, FOURTH DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",10 - 99 (Small),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/delivery-driver-1046052
STORE MANAGER,"₱50,000.00","QUALIFICATIONS:- Must be proficient in English and Mandarin language (Oral and Written).- With experience in managing staff- Active and responsible, strong observation skills.- Ability to communicate clearly.- Strong leadership and communication skills.- Excellent customer service skills.- Ability to work in a fast-paced environment.- Basic financial acumen., QUALIFICATIONS:, - Must be proficient in English and Mandarin language (Oral and Written)., - With experience in managing staff, - Active and responsible, strong observation skills., - Ability to communicate clearly., - Strong leadership and communication skills., - Excellent customer service skills., - Ability to work in a fast-paced environment., - Basic financial acumen., ",BESCHOLAR MANPOWER SERVICES INC.,"CITY OF PARAÑAQUE, NCR, FOURTH DISTRICT",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE; HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/store-manager-1046051
JANITOR,₱610.00,MaleNot more than 45 yrs old.Willing to be assigned in Malate and Makati areawith experienceFully vaccinated,HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF MANILA, NCR, FIRST DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),Educ level not specified,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/janitor-1046048
ACCOUNTING STAFF,₱610.00,With Experience  or OJTWilling to be assigned in Malate area,HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF MANILA, NCR, FIRST DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-staff-1046044
SALES EXECUTIVE,"₱16,000.00","* With 1-year Automotive Sales Experience* With pleasing personality* Excellent Communication Skills* Preferably with Driver's license, but not required, * With pleasing personality, * Excellent Communication Skills, * Preferably with Driver's license, but not required",SOLAR TRANSPORT AND AUTOMOTIVE RESOURCES CORP.,"LIPA CITY, BATANGAS","TRANSPORT, STORAGE AND COMMUNICATION",10 - 99 (Small),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-executive-1046041
FINANCIAL CONSULTANT,"₱50,000.00",Qualifications:MUST be 4 YEARS College Graduate (Any Course) FRESH GRADS ARE WELCOME TO APPLY23 - 40 years oldGoal Oriented PersonTeam PlayerMust have good internet connection,PRU LIFE INSURANCE CORPORATION OF U.K.,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT",FINANCIAL INTERMEDIATION,200 and over (Large),COLLEGE GRADUATE,Work from home/online job,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/financial-consultant-1046023
BUSINESS DEVELOPMENT/MARKETING ANALYST (GOV),"₱35,000.00","Job Qualifications/Skills:Bachelor's Degree in Business Management, Communications, or any related courses3-4 years of relevant work experience; experience with any E-Commerce platform is a plusStrong market research skillsProficient in support operationsExcellent problem-solving and critical thinking abilitiesHighly analytical with a logical mindsetExcellent communication and negotiation skillsExceptional multi-tasking abilitiesTech-savvy, proficient with various IT and cloud-based tools for efficiency and productivityReady to challenge, be challenged, and thrive in a highly disruptive business model, ",A.S. ONLINE CONSULTING INC.,"MANDAUE CITY, CEBU","TRANSPORT, STORAGE AND COMMUNICATION; WHOLESALE AND RETAIL TRADE",200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/business-development-marketing-analyst-gov-1046013
JANITOR,"₱15,860.00","*Male*Not more than 40 years old
*With Experience/OJT
*Fully Vaccinated
*Willing to be assigned in ORTIGAS*Not more than 40 years old*With Experience/OJT*Fully Vaccinated*Willing to be assigned in ORTIGAS, *Not more than 40 years old
*With Experience/OJT
*Fully Vaccinated
*Willing to be assigned in ORTIGAS, *Not more than 40 years old, *With Experience/OJT, *Fully Vaccinated, *Willing to be assigned in ORTIGAS, , ",HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF PASIG, NCR, SECOND DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),HIGH SCHOOL GRADUATE,Contractual,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/janitor-1045998
RESERVATION OFFICER,"₱15,860.00","FemaleNot more than 30 years oldWith room reservation backgroundBasic OPERA SkillsBasic knowledge on Hotel 3rd part booking engineFully Vaccinated, Not more than 30 years old, With room reservation background, Basic OPERA Skills, Basic knowledge on Hotel 3rd part booking engine, Fully Vaccinated",HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF MAKATI, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Contractual,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/reservation-officer-1045997
ROOM ATTENDANT,"₱15,860.00","•	Male and Female not over 35 years old;•	At least 5’7 in height for male and 5’4 in height for female•	Has at least six (6) months working experience in related field•	Fresh graduate is welcome to apply•	Has pleasing personality; good communication skills;•	Flexible, dedicated and service oriented;•	Willing to go on shifting schedules; during weekends and holidays;•	Preferably residing near MakatiFully vaccinated, •	At least 5’7 in height for male and 5’4 in height for female, •	Has at least six (6) months working experience in related field, •	Fresh graduate is welcome to apply, •	Has pleasing personality; good communication skills;, •	Flexible, dedicated and service oriented;, •	Willing to go on shifting schedules; during weekends and holidays;, •	Preferably residing near Makati, ",HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF MAKATI, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Contractual,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/room-attendant-1045996
WAITER (GENERAL),"₱15,860.00","•	Male and Female not over 30 years old;•	At least 5’7 in height for male and 5’4 in height for female•	Has at least six (6) months working experience in related field;•	Fresh graduate is welcome to apply•	Has pleasing personality; good communication skills;•	Willing to be on – call;•	Flexible, dedicated and service oriented;•	Willing to go on shifting schedules; during weekends and holidays;•	Preferably residing near Alabang, MuntinlupaFully Vaccinated with Boosters., •	At least 5’7 in height for male and 5’4 in height for female, •	Has at least six (6) months working experience in related field;, •	Fresh graduate is welcome to apply, •	Has pleasing personality; good communication skills;, •	Willing to be on – call;, •	Flexible, dedicated and service oriented;, •	Willing to go on shifting schedules; during weekends and holidays;, •	Preferably residing near Alabang, Muntinlupa, ",HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/waiter-general-1045995
WAITRESS,"₱15,860.00","•	Female not more than 28 years old;•	At least  5’4 in height;•	College or undergraduate;•	Has at least six (6) months working experience in related field;•	Knowledgeable in food service;•	Has pleasing personality; good communication skills;•	Willing to be on – call;•	Flexible, dedicated and service oriented;•	Willing to go on shifting schedules; during weekends and holidays;•	Preferably residing near Alabang, Muntinlupa.Fully vaccinated with boosters, •	At least  5’4 in height;, •	College or undergraduate;, •	Has at least six (6) months working experience in related field;, •	Knowledgeable in food service;, •	Has pleasing personality; good communication skills;, •	Willing to be on – call;, •	Flexible, dedicated and service oriented;, •	Willing to go on shifting schedules; during weekends and holidays;, •	Preferably residing near Alabang, Muntinlupa., ",HEAD HUNTERS PERSONNEL MANAGEMENT INC.,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT",HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Contractual,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/waitress-1045994
HUMAN RESOURCE DEVELOPMENT SPECIALIST,Salary not specified,Qualifications/requirements not specified,MICROSERVE FACILITIES MGT. AND ALLIED SERVICES INC.,"QUEZON CITY, NCR, SECOND DISTRICT",ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS AND UNDIFFENTIATED PRODUCTION ACTIVITIES OF PRIVATE,200 and over (Large),Educ level not specified,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-specialist-1045989
MARKET SALESPERSON,Salary not specified,"QUALIFICATIONSGraduate of Business Administration/Marketing or any related course.With excellent written and verbal communication skills.Customer-oriented.Can facilitate webinars/presentations/orientations.Proficient in MS Office (Word, Excel, PowerPoint).Able to strictly work with confidential information.Works well under pressure and meets tight deadlines.Has interest in Content Writing.Must possess strong design and organizational skills.Customer Service/Sales/Marketing-related work experience is an advantage.Fresh graduates are welcome to apply.",ENZ EDUCATION CONSULTANCY SERVICES,"CAGAYAN DE ORO CITY (CAPITAL), MISAMIS ORIENTAL",EDUCATION,10 - 99 (Small),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/market-salesperson-1045964
ADMINISTRATIVE ASSISTANT,Salary not specified,"QUALIFICATIONSBachelor’s Degree in Office Administration, Finance, or any related discipline.Organized and detail-oriented.Strong organizational, time management, and analytical skillsKnowledgeable in assisting clients, answering queries, and other related tasks.With at least 1-year work experience in administrative tasks., , , ",ENZ EDUCATION CONSULTANCY SERVICES,"CITY OF PASIG, NCR, SECOND DISTRICT",EDUCATION,10 - 99 (Small),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-assistant-1045963
ADMINISTRATIVE ASSISTANT,Salary not specified,"- Must have a Bachelor’s/College degree in BS Computer Science, BS Information Technology or any Business course- Must have a minimum one (1) year work experience in documentation and filing management.- Must have an advance proficiency in Microsoft Applications especially in Excel & Powerpoint- Experience in SAP is an advantage.- With work exposure in Engineering or Construction or similar industry- Pleasant personality, can relate to all types of people & with above average communication skills., - Must have a minimum one (1) year work experience in documentation and filing management., - Must have an advance proficiency in Microsoft Applications especially in Excel & Powerpoint, - Experience in SAP is an advantage., - With work exposure in Engineering or Construction or similar industry, - Pleasant personality, can relate to all types of people & with above average communication skills.",JGC PHILIPPINES INC,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT",CONSTRUCTION,200 and over (Large),COLLEGE GRADUATE,Job type not specified,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-assistant-1045927
CUSTOMER SERVICE ASSISTANT,"₱13,000.00","Job SpecificationsEducation:Bachelor’s degree in any courseYears of relevant work experience:At least 1 year experience in Customer Service or related job.Technical Competencies:Has excellent Written and Oral Communication SkillsExcellent negotiation skillsHas a strong affinity for sales and customer service.Has advanced computer and typing skills.Behavioral Competencies:Courage to speak upAccept feedbackReliabilityExceed expectationSolutions oriented, , Education:, Bachelor’s degree in any course, , , Years of relevant work experience:, At least 1 year experience in Customer Service or related job., , , Technical Competencies:, Has excellent Written and Oral Communication Skills, Excellent negotiation skills, Has a strong affinity for sales and customer service., Has advanced computer and typing skills., , , Behavioral Competencies:, Courage to speak up, Accept feedback, Reliability, Exceed expectation, Solutions oriented, , , ","PYTERA, INC.","CEBU CITY (CAPITAL), CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),4TH YEAR COLLEGE LEVEL,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1045924
ACCOUNTING ASSISTANT,"₱13,000.00","Job Specifications:Education:Bachelor’s degree in Accounting, Management Accounting, Accounting Technology, Finance or related coursesYears of relevant work experience:Less than a year of relevant experience in Accounting or FinanceBehavioral Competencies:- Courage to speak up- Accept feedback- Reliability- Exceed expectation- Solutions orientedTechnical Competencies:- Basic Accounting- Basic knowledge of Accounting Software- Proficient in MS, Quickbooks, Acrobat Reader and Google Workspace applications, , , , Education:, Bachelor’s degree in Accounting, Management Accounting, Accounting Technology, Finance or related courses, , , Years of relevant work experience:, Less than a year of relevant experience in Accounting or Finance, , , Behavioral Competencies:, - Courage to speak up, - Accept feedback, - Reliability, - Exceed expectation, - Solutions oriented, , , Technical Competencies:, - Basic Accounting, - Basic knowledge of Accounting Software, - Proficient in MS, Quickbooks, Acrobat Reader and Google Workspace applications, , , , , , , , , , , , , ","PYTERA, INC.","CEBU CITY (CAPITAL), CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1045923
ACCOUNTING ANALYST,Salary not specified,"Your Skills & Abilities (Required Qualifications)• Bachelor’s degree in Accountancy or similar discipline, with minimum of 3 years' experience in a shared services environment• Intermediate understanding of US GAAP, IFRS, and SOX /Internal Control Requirements.• Working knowledge and experience with SAP is required (systems and level of knowledge necessary will vary – candidate must be willing to continuously learn the GM systems landscape and functionality)• Willingness to work on MID SHIFT (Manila/PH time - shift start is between 1PM to 3PM) on a hybrid arrangement.What Will Give You A Competitive Edge (Preferred Qualifications)• Experience working in a multinational organization and working with colleagues internationally is preferred.• Basic Automotive Industry knowledge• Advanced MS Excel and reporting knowledge• Strong communication and presentation skills• Problem Solving• Integrity and Trust• Interpersonal Savvy• Learning on the Fly• Customer Service Mindset• Research accounting issues and proscribe appropriate resolution.• Ability to pursue open issues to resolution.• High level of analytical ability to solve unusual and difficult issues.• Works effectively with others and as part of a team.• Complete English Fluency, Your Skills & Abilities (Required Qualifications), • Bachelor’s degree in Accountancy or similar discipline, with minimum of 3 years' experience in a shared services environment, • Intermediate understanding of US GAAP, IFRS, and SOX /Internal Control Requirements., • Working knowledge and experience with SAP is required (systems and level of knowledge necessary will vary – candidate must be willing to continuously learn the GM systems landscape and functionality), • Willingness to work on MID SHIFT (Manila/PH time - shift start is between 1PM to 3PM) on a hybrid arrangement., , What Will Give You A Competitive Edge (Preferred Qualifications), • Experience working in a multinational organization and working with colleagues internationally is preferred., • Basic Automotive Industry knowledge, • Advanced MS Excel and reporting knowledge, • Strong communication and presentation skills, • Problem Solving, • Integrity and Trust, • Interpersonal Savvy, • Learning on the Fly, • Customer Service Mindset, • Research accounting issues and proscribe appropriate resolution., • Ability to pursue open issues to resolution., • High level of analytical ability to solve unusual and difficult issues., • Works effectively with others and as part of a team., • Complete English Fluency, ","GM PHILIPPINES, INC.","TAGUIG CITY, NCR, FOURTH DISTRICT","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-analyst-1045901
ACCOUNTING ASSISTANT,Salary not specified,"- Candidate must be a graduate of BS ACCOUNTANCY.- CPA board exam passers are highly encouraged to apply.- With good communication skills and scholastic records- With at least 1 year of relevant accounting and financial hands-on work exposure gained from large size company.- Candidate must be eager to be trained in various accounting functions.- Willing to be assigned to project local sites, if needed.- Must be open to work in office set-up.- Immediately available for employment by June 2024., - CPA board exam passers are highly encouraged to apply., - With good communication skills and scholastic records, - With at least 1 year of relevant accounting and financial hands-on work exposure gained from large size company., - Candidate must be eager to be trained in various accounting functions., - Willing to be assigned to project local sites, if needed., - Must be open to work in office set-up., - Immediately available for employment by June 2024.",JGC PHILIPPINES INC,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT",CONSTRUCTION,200 and over (Large),Educ level not specified,Job type not specified,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1045899
ACCOUNTING STAFF,₱610.00,"Qualifications and SkillsProficient in the use of computers, including accounting software, database software, document management software, and Microsoft OfficePrior secretarial experience preferred, but not requiredStrong communication skills; ability to interact productively with supervisors, peers, and subordinatesSuperb organizational skillsExcellent time managementBachelor's degree, Vocational course or equivalent required, ",JW SUMMIT GROUP INC.,"PASAY CITY, NCR, FOURTH DISTRICT",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-staff-1045873
WAREHOUSEMAN,Salary not specified,"College graduate – any four (4) year course.Minimum of one (1) year job related experienceGood in analysis and problem solvingProactive, Innovative, Flexible, Team Player, Committed, and Results and Customer Oriented",FAST DISTRIBUTION CORPORATION,"ROXAS CITY (CAPITAL), CAPIZ",WHOLESALE AND RETAIL TRADE,100 - 199 (Medium),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/warehouseman-1045871
PSYCHOLOGIST (GOV),"₱36,619.00","Please submit the complete requirements to qmmcrecruitment@gmail.com or recruitmentqmmc@gmail.com1. Application letter addressed to the Medical Center ChiefEVELYN VICTORIA E. RESIDE, MD, FPCP, FPCCP, MASMedical Center Chief IIQuirino Memorial Medical Center2. 1 copy of COMPUTERIZED fully accomplished Personal Data Sheet (Downloadable at CSC Website) with passport size picture in white background and handwritten name and signature (civil service format)3. 1 copy of COMPUTERIZED fully accomplished Sworn Statement of Assets, Liabilities and Net Worth (Downloadable at CSC Website)4. 1 copy of COMPUTERIZED fully accomplished Work Experience Sheet (Downloadable at CSC Website)5. Valid NBI Clearance or claim stub6. 1 copy of authenticated Diploma and Transcript of Record7. PSA/NSO Certified Birth Certificate8. PSA/NSO Certified Marriage Certificate (for married only)9. 1 copy of PRC ID and Board Rating (Duly Certified and Authenticated by the PRC)10. Civil Service Eligibility (Duly Certified and Authenticated by the CSC)11. Relevant Trainings and Seminars attended after graduation12. Certificate of Employment (photocopy)13. Clearance Certificate from previous employment (if any)14. Copy of Appointment and Service Record (if government employed)15. 1 copy of BIR Form with stamped of “Received or TIN Verified” by BIR (ex. Forms 1902, 1901, 1905) or screenshot of online TIN verification thru https://orus.bir.gov.ph/search/tinverification16. PAG-IBIG number should be indicated in Personal Data Sheet, , 1. Application letter addressed to the Medical Center Chief, EVELYN VICTORIA E. RESIDE, MD, FPCP, FPCCP, MAS, Medical Center Chief II, Quirino Memorial Medical Center, 2. 1 copy of COMPUTERIZED fully accomplished Personal Data Sheet (Downloadable at CSC Website) with passport size picture in white background and handwritten name and signature (civil service format), 3. 1 copy of COMPUTERIZED fully accomplished Sworn Statement of Assets, Liabilities and Net Worth (Downloadable at CSC Website), 4. 1 copy of COMPUTERIZED fully accomplished Work Experience Sheet (Downloadable at CSC Website), 5. Valid NBI Clearance or claim stub, 6. 1 copy of authenticated Diploma and Transcript of Record, 7. PSA/NSO Certified Birth Certificate, 8. PSA/NSO Certified Marriage Certificate (for married only), 9. 1 copy of PRC ID and Board Rating (Duly Certified and Authenticated by the PRC), 10. Civil Service Eligibility (Duly Certified and Authenticated by the CSC), 11. Relevant Trainings and Seminars attended after graduation, 12. Certificate of Employment (photocopy), 13. Clearance Certificate from previous employment (if any), 14. Copy of Appointment and Service Record (if government employed), 15. 1 copy of BIR Form with stamped of “Received or TIN Verified” by BIR (ex. Forms 1902, 1901, 1905) or screenshot of online TIN verification thru https://orus.bir.gov.ph/search/tinverification, 16. PAG-IBIG number should be indicated in Personal Data Sheet, , , , , , , , , , , , , , , , , , ",QUIRINO MEMORIAL MEDICAL CENTER,"QUEZON CITY, NCR, SECOND DISTRICT",HEALTH AND SOCIAL WORK,200 and over (Large),COLLEGE GRADUATE,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/psychologist-gov-1045870
ADMINISTRATION SERVICES AIDE,"₱13,000.00","ADMINISTRATIVE AIDE I -Utility Worker IEducation: Must be able to read and writeTraining: None requiredExperience: None requiredEligibility: None required (MC No. 10, s. 2013, CAT III)Place of Assignment: Emergency RoomCore Competencies: Exemplifying Integrity, Professionalism, Service ExcellenceOrganizational Competencies: Effective Communication Skills, Effective Interpersonal Relations, Organizational Awareness and CommitmentTechnical Competencies: Computer Skills, Data Recording and Reporting, Equipment, Materials and Supplies Management, Information Management, Providing Support and Services",RIZAL MEDICAL CENTER,"CITY OF PASIG, NCR, SECOND DISTRICT",HEALTH AND SOCIAL WORK,200 and over (Large),Educ level not specified,Permanent,13 June 2024,https://philjobnet.gov.ph/job-vacancies/job/administration-services-aide-1045867
