Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
Silenced,2011,"Gong Yoo, Jung Yu-mi, Kim Hyun-soo, Jung In-seo, Baek Seung-hwan, Jang Gwang, Kim Joo-ryoung, Kim Min-sang, Lim Hyun-sung, Jeon Kuk-hwan, Choi Jin-ho, Kwon Hong-suk, Uhm Hyo-seop, Park Hye-jin, Kim Ji-young, Kim Ji-young, Uhm Ji-sung, Lee Sang-hee, Nam Myung-ryeol, Park Kyoung-hee, Jang So-yeon, Hong Seok-yeon, Heo Jae-ho, Jung Hyung-suk",Drama,"Intense Violence And Sexual Transgression, Sexuality Sex Disturbed Unconventional Or Challenging, Sad Depressing Illness Heartbreaking Touching, Brutal Graphic Brutality Revenge Violence, Family Touching Kids Cry Tear Jerker, Drugs Gritty Cops Violence Powerful",Korean,"Sangeori Pictures, Fantagio, Cj Entertainment",South-Korea
Detour,1945,"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald, Tim Ryan, Esther Howard, Pat Gleason, Don Brodie","Drama, Thriller","Thrillers And Murder Mysteries, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Thriller Cops Suspense Killer Twist, Murderer Clues Suspects Suspense Intriguing",English,Prc 1,Usa
The Deer,1974,"Behrouz Vossoughi, Faramarz Gharibian, Garshasb Raoufi, Enayat Bakhshi, Parviz Fanizadeh, Nosrat Partovi, Nematollah Gorji, Jahangir Forouhar, Parvin Solaymani, Fahimeh Amouzandeh, Mahbubeh Bayat, Mastaneh Jazayeri, Ali Akbar Mahdavifar, Manoocher Naderi, Amrollah Saberi, Nezameddin Shafai, Hossein Shahab, Mohammad Varshochi, Saeid Pirdoost","Drama, Crime",,Persianfarsi,Misaghye Studio,Iran
A Sunday in the Country,1984,"Sabine Azéma, Louis Ducreux, Michel Aumont, Monique Chaumette, Geneviève Mnich, Thomas Duval, Quentin Ogier, Katia Wostrikoff, Claude Winter, Jean-Roger Milo, Pascale Vignal, Valentine Suard, Erika Faivre, Marc Perrone, Bertrand Tavernier","Drama, Family",,French,"Little Bear 1, Films A2 2, Sara Films 2",France
Faces Places,2017,"Agnès Varda, JR, Patricia Mercier, Amaury Bossy, Claude Flaert, Clemens Van Dungern, Didier Campy Comte, Jacky Patin, Jean-Luc Godard, Jeannine Carpentier, Jean-Paul Beaujon, Marie Douvet, Nathalie Schleehauf, Patrick Bernard, Vincent Gils",Documentary,"Humanity And The World Around Us, Romance Captivating Loves Lover Beauty",French,"Social Animals, Cine Tamaris, Arte France Cinema 5, Rouge International 1, Arches Films, Cohen Media Group 1",France
Everybody's Fine,1990,"Marcello Mastroianni, Valéria Cavalli, Michèle Morgan, Marino Cenna, Norma Martelli, Domenico Gennaro, Salvatore Cascio, Roberto Nobile, Jacques Perrin, Antonella Attili, Leo Gullotta, Nicola Di Pinto, Victor Cavallo, Cesare Barbetti, Christopher Thompson, Fabio Iellini, Roberto Ceccacci, Ennio Morricone, Marcello Mazzarella",Drama,,Italian,"Tf1 Films Production 1, Erre Produzioni, Ariane Films","France, Italy"
Mulan,1998,"Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray, James Hong, Miriam Margolyes, Pat Morita, Marni Nixon, Soon-Tek Oh, Donny Osmond, Lea Salonga, James Shigeta, George Takei, Jerry Tondo, Gedde Watanabe, Frank Welker, Matthew Wilder, Tom Amundsen, Arminae Austen, Mary Kay Bergman, Susan Boyd, Julianne Buescher, Steve Bulen, Corey Burton, Mitch Carter, Robert Clotworthy, David Cowgill, Sally Dworsky, Beth Fowler, Donald Fullilove, Elisa Gabrielli, Jack Gilpin, Sandie Hall, Richard Steven Horvitz, Linda Kerns, Matthew Labyorteaux, Conan Lee, Dana Lee, Edie Lehmann Boddicker, Luisa Leschin, Christina Ma, Susan McBride, Haunani Minn, Edie Mirman, Mark Moseley, Patrick Pinney, Peter Renaday, Maurita L. Thornburgh, John Walcutt, Claudette Wells, Jack Angel, Jeff Bennett, Bob Bergen, Rodger Bumpass, George Dvorsky, Bill Farmer, Merwin Foard, Phil Proctor, Chris Sanders","Family, Adventure, Animation","Epic Heroes, Epic History And Literature, Crude Humor And Satire, Song And Dance, Humor Cartoon Funny Jokes Lovable, Fantasy Imaginative Magic Fairy Tale Or Enchanted, Fought Army Fighting Heroic Battle, Swords Battle Fantasy Epic Magic, Christmas Holiday Heartwarming Family Adorable","English, English, Chinese","Walt Disney Pictures, Walt Disney Feature Animation",Usa
Memories of Matsuko,2006,"Miki Nakatani, Eita Nagayama, Yûsuke Iseya, Teruyuki Kagawa, Mikako Ichikawa, Asuka Kurosawa, Akira Emoto, Gori, Ko Shibasaki, Kankuro Kudo, Shinji Takeda, Yoshiyoshi Arakawa, Gekidan Hitori, Magi, Shosuke Tanihara, Cunning Takeyama, Masahiro Koumoto, Takuzô Kadono, Nagisa Katahira, Mari Hamada, Tetsu Watanabe, Yorie Yamashita, Anna Tsuchiya, Hanako Yamada, Yôko Hoshi, Hiroshi Yamamoto, Sakichi Sato, Houka Kinoshita, Sora Aoi, Yoji Tanaka, Kaera Kimura, Bonnie Pink, Kayoko Okubo, Yoshiaki Miyagi, Natsuki Kasa, Nana Shimoda, Junko Emoto, Noriko Eguchi, Kyūsaku Shimada, Risa Ai, Aki Takejo, Moe Miura, Atsushi Yanaka, Masayoshi Haneda, Maiko Asano","Drama, Comedy, Music","Song And Dance, Anime Graphics Storytelling Emotion Breathtaking, Sad Depressing Illness Heartbreaking Touching, Family Touching Kids Cry Tear Jerker, Death Symbolism Philosophical Thought Provoking Surreal, Touching Cry Family Sad Tear Jerker",Japanese,"Tbs 1, Amuse Soft Entertainment, Stardust Pictures, Gentosha, Toho, Hakuhodo Dy Media Partners, Tokyo Fm, Parco, Horipro, Warner Music Japan, Suplex",Japan
Twentieth Century,1934,"John Barrymore, Carole Lombard, Walter Connolly, Roscoe Karns, Ralph Forbes, Charles Lane, Etienne Girardot, Dale Fuller, Edgar Kennedy, Billie Seward, Herman Bing, James Burke, Pat Flaherty, Clarence Geldart, A.R. Haysel, Howard Hickman, Lee Kohlmar, Frank Marlowe, Mary Jo Mathews, George Offerman, Jr., Gigi Parrish, Steve Pendleton, George H. Reed, Clifford Thompson, Fred 'Snowflake' Toones, Lynton Brent, Anita Brown, James P. Burtis, Eddy Chandler, Nick Copeland, Arnold Gray, Sherry Hall, Kid Herman, Fred Kelsey, Frank Mills, King Mojave, Frank O'Connor, Charles O'Malley, Ky Robinson, Harry Semels, Earl Smith, Irene Thompson, Lillian West, Buddy Williams","Romance, Comedy","Crude Humor And Satire, Relationship Comedy, Gag Chuckles Slapstick Amusing Jokes, Humor Satire Jokes Amusing Humorous, Charming Witty Delightful Lovely Charm, Comedy Funny Hilarious Broadway Musical, Jokes Humor Chuckles Crude Gag","English, English, German",Columbia Pictures,Usa
Father of the Bride,1950,"Spencer Tracy, Joan Bennett, Elizabeth Taylor, Don Taylor, Billie Burke, Leo G. Carroll, Moroni Olsen, Melville Cooper, Taylor Holmes, Paul Harvey, Frank Orth, Russ Tamblyn, Tom Irish, Marietta Canty, Richard Alexander, Don Anderson, William Bailey, Fay Baker, Lucile Barnes, Oliver Blake, Lillian Bronson, Joe Brown Jr., Frank Cady, Aileen Carlyle, Carleton Carpenter, Gene Coogan, Paul Cristo, Oliver Cross, Lucille Curtis, Roy Damron, Boyd Davis, Chris Drake, Jacqueline Duval, Ella Ethridge, Estelle Etterre, Betty Farrington, Janey Fay, Charles Ferguson, Bess Flowers, Edward Gargan, Mickey Golden, Herschel Graham, William E. Greene, William Haade, Sherry Hall, Bradford Hatton, Jim Hayward, Thomas Browne Henry, Stuart Holmes, Art Howard, Frank Hyers, Walter Kelley, Ann Kunde, Peggy Leon, Beverly Luff, Billy Mahan, Thomas Martin, Paul Maxey, Mickey McCardle, Philo McCullough, Russell Meeker, Harold Miller, Patricia Miller, Roger Moore, Sol Murgi, Forbes Murray, William H. O'Brien, Gil Perkins, Ralph Peters, Lee Phelps, Dorothy Phillips, William Phillips, Frank Richards, Dewey Robinson, Fred Santley, Cosmo Sardo, Scott Seaton, Erin Selwyn, Charles Smith, Mary Jane Smith, Douglas Spencer, Harry Stanton, Larry Steers, Brick Sullivan, Floyd Taylor, Peter M. Thompson, Nancy Valentine, Wendy Waldron, Johnny Walsh, Willard Waterman, Dick Wessel, Jeff York","Comedy, Drama, Romance","Relationship Comedy, Crude Humor And Satire, Charming Witty Delightful Lovely Charm, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Quirky Humor Relationships Endearing Humorous, Gag Chuckles Slapstick Amusing Jokes, Marriage Drama Family Dramas Melodrama",English,Metro Goldwyn Mayer 1,Usa
The Pajama Game,1957,"Doris Day, John Raitt, Carol Haney, Eddie Foy Jr., Reta Shaw, Barbara Nichols, Thelma Pelish, Jack Straw, Ralph Dunn, Larri Thomas, Owen Martin, Jackie Kelk, Ralph W. Chambers, Mary Stanton, Buzz Miller, Kenneth LeRoy, Rodney Bieber, Buddy Bryan, Florine Carlan, Beth Carter, Fred Curt, Drusilla Davis, Harvey Evans, William A. Forester, Franklyn Fox, Alex Goudovitch, Otis Griffith, Jack Henderson, Michael Jeffers, Kathy Marlowe, Gregor Momdjian, Charles Owens, Howard Parker, Frank Radcliffe, Jack Regas, Dolores Starr, David Swain, Fred Villani, Ralph Volkie, Marc Wilder","Comedy, Romance, Music","Song And Dance, Musical Lyrics Broadway Tune Vocals, Comedy Funny Hilarious Broadway Musical, Dancing Choreography Catchy Tune Lyrics",English,Warner Bros Pictures 1,Usa
Antonia's Line,1995,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop, Carolien Spoor, Esther Vriesendorp, Thyrza Ravesteijn, Mil Seghers, Jan Decleir, Elsie de Brauw, Reinout Bussemaker, Marina de Graaf, Wimie Wilhelm, Fran Waller Zeper","Comedy, Drama","Moving Relationship Stories, Documentary Sad Fascinating Emotional Heartbreaking, Family Touching Kids Cry Tear Jerker, Sad Depressing Illness Heartbreaking Touching, Romance Captivating Loves Lover Beauty, Touching Cry Family Sad Tear Jerker",Dutch,"Bergen Film, Bard Entertainments, Nps Televisie","Netherlands, Uk, Belgium"
The Steamroller and the Violin,1961,"Igor Fomchenko, Vladimir Zamanskiy, Marina Adzhubei, Yuri Brusser, Vyacheslav Borisov, Lyudmila Semyonova, Tanya Prokhorova, Natalya Arkhangelskaya, Marina Figner, Antonina Maksimova, Aleksandr Ilin",Drama,,Russian,Mosfilm 1,Ussr
The Professionals,1966,"Burt Lancaster, Lee Marvin, Robert Ryan, Woody Strode, Jack Palance, Claudia Cardinale, Ralph Bellamy, Joe De Santis, Rafael Bertrand, Jorge Martínez de Hoyos, Marie Gomez, José Chávez, Carlos Romero, Vaughn Taylor, Elizabeth Campbell, Don Carlos, Leigh Chapman, Roberto Contreras, Dirk Evans, Darwin Lamb, Eddie Little Sky, John Lopez, John McKee, Philip L. Parslow, Ron Veto","Adventure, Action, Western","Westerns, Frontier Guns Wild Showdown Gunfight, Wild Guns Frontier Sheriff Hero, Action Packed Villain Hero Adrenaline Explosives","English, English, Spanish",Columbia Pictures,Usa
Lone Wolf and Cub: Sword of Vengeance,1972,"Tomisaburō Wakayama, Fumio Watanabe, Tomoko Mayama, Shigeru Tsuyuguchi, Asao Uchida, Taketoshi Naitō, Yoshi Katō, Yoshiko Fujita, Reiko Kasahara, Akihiro Tomikawa, Kōji Sekiyama, Teruo Matsuyama, Shunya Wazaki, Michimaro Otabe, Saburo Date, Ryūtarō Gomi, Kyōichi Satō, Hiroshi Hasegawa, Kōji Fujiyama, Jun Takigawa, Hisao Hamita, Yukio Horikita, Tokio Oki, Tadashi Iwata, Yūsaku Terashima, Manabu Morita, Yūji Hamada, Hajime Koshikawa, Jun Fujikawa, Goro Kumon, Shōji Mori, Sumao Ishihara, Kôji Uehara, Tamotsu Fujiharu, Jun Soloni, Kanae Kobayashi, Shinji Nunome, Iwao Kasumi, Kazuo Mortuchi, Jinichiro Ando, Kazuo Ōbayashi, Yoshumitsu Shimonura, Kazuyo Yanaka, Masami Kojomon, Chizu Kobayashi, Yutaka Nakamura, Akiji Kobayashi, Yūnosuke Itō","Drama, Action","Epic Heroes, Martial Arts Intense Combat, Fought Army Fighting Heroic Battle, Frontier Guns Wild Showdown Gunfight, Guns Action Violence Cops Killing, Brutal Graphic Brutality Revenge Violence",Japanese,"Katsu Production, Toho",Japan
Orlando,1992,"Tilda Swinton, Billy Zane, Lothaire Bluteau, John Wood, Charlotte Valandrey, Heathcote Williams, Quentin Crisp, Peter Eyre, Thom Hoffman, Kathryn Hunter, Ned Sherrin, Jimmy Somerville, Dudley Sutton, John Bott, Elaine Banham, Anna Farnworth, Sara Mair-Thomas, Anna Healy, Simon Russell Beale, Matthew Sim, Jerome Willis, Viktor Stepanov, Mary MacLeod, Barbara Hicks, Alexander Medvedev, Toby Stephens, Oleg Pogodin, George Antoni, Toby Jones, Robert Demeger, Lol Coxhill, Thom Osborn, Giles Taylor, Sarah Crowden, Hugh Munro, Peter Hayward, Andrew Watts, Roger Hammond, Cyril Lecomte, Olivia Lancelot, John Grillo, Martin Wimbush, Terence Soall, Jessica Swinton","Fantasy, Drama","Humanity And The World Around Us, Death Symbolism Philosophical Thought Provoking Surreal, Royalty Sumptuous Lavish Drama Kings, Shakespearean Breathtaking Kings Captivating Tragic, Powerful Complexity Intellectual Poetic Emotional, Anime Graphics Storytelling Emotion Breathtaking","English, English, French, Russian, Turkish","Mikado Film, Adventure Pictures, Rio 2, Sigma Pictures, Lenfilm 1","France, Italy, Netherlands, Russian-Federation, Uk"
Tower,2016,"Violett Beane, Chris Doubek, Blair Jackson, Louie Arnette, Josephine McAdam, Aldo Ordoñez, Seamus Bolivar-Ochoa, Monty Muir, Cole Bee Wilson, Vicky Illk, Anthony Martinez, Rebecca Beegle, Ron Pippin, Timothy Lucas, Karen Davidson, Jeremy Brown, Cole Bresnehen, Tyler Mager, John Fitch, Steve Eckelman, Patrick Floyd, Kevin Lindsay, Theo Earl Maitland","Animation, Crime, Documentary","Politics And Human Rights, Murder Crime Drama Gripping Compelling",English,"Independent Lens, Go Valley",Usa
The Bank Dick,1940,"W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio, Jessie Ralph, Franklin Pangborn, Shemp Howard, Dick Purcell, Grady Sutton, Russell Hicks, Pierre Watkin, Al Hill, George Moran, Bill Wolfe, Jack Norton, Pat West, Reed Hadley, Heather Wilde, Harlan Briggs, William Alston, Eddie Acuff, Lowden Adams, Fay Adler, Vangie Beilby, Becky Bohanon, Melinda Boss, Tom Braunger, Nora Cecil, Jack Rube Clifford, Eddie Coke, Russell Coles, Gene Collins, Jan Duggan, Eddie Dunn, Mary Field, Monty Ford, Jack Gargan, Dolly Haas, Larry Harris, Charles Hart, Fay Holderness, Bobby Larson, Carey Loftin, Patsy Moran, Joseph North, William J. O'Brien, David Oliver, Pat O'Malley, John Rawlings, Sam Rice, Jack Roper, Margaret Seddon, Charles Sullivan, Kay Sutton, Emma Tansey, Edward Thomas, David Thursby, Frankie Van, Dorothy Vernon, Emmett Vogan, Max Wagner, Frank Ward, Bonnie Washington",Comedy,"Crude Humor And Satire, Gag Chuckles Slapstick Amusing Jokes, Jokes Humor Chuckles Crude Gag, Humor Satire Jokes Amusing Humorous, Comedy Funny Hilarious Broadway Musical, Horror Spooky Scary Comical Creepy",English,Universal Pictures,Usa
On the Town,1949,"Gene Kelly, Frank Sinatra, Betty Garrett, Ann Miller, Jules Munshin, Vera-Ellen, Florence Bates, Alice Pearce, George Meader, Murray Alper, Bette Arlen, Anne Beck, Bea Benaderet, Gladys Blake, Eugene Borden, Leonard Bremen, Don Brodie, Ralph Brooks, Claire Carleton, Peter Chong, Dorinda Clifton, Hans Conried, Jeanne Coyne, Lester Dorr, Tom Dugan, Helen Eby-Rock, Luigi Faccuito, Clair Freeman, Alex Goudovitch, Frank Hagney, Robert Haines, Carol Haney, Timmy Hawkins, Bern Hoffman, Judy Holliday, Curtis Loys Jackson Jr., Richard Kean, Milton Kibbee, Jack G. Lee, Hank Mann, Gloria Marlen, John Marlin, Bert May, Helen McAllister, Sid Melton, Diane Nance, Kerry O'Day, Norman Ollestad, William Phillips, Paul Power, Edwin Rochelle, Alex Romero, Reiko Sato, Frank J. Scannell, Lee Scott, Jack Shea, Robert Smith, Robert R. Stephenson, Dorothy Tuttle, Tyra Vaughn, Dick Wessel, Robert B. Williams, Bud Wolfe","Romance, Comedy, Music","Song And Dance, Musical Lyrics Broadway Tune Vocals, Comedy Funny Hilarious Broadway Musical, Dancing Choreography Catchy Tune Lyrics, Charming Witty Delightful Lovely Charm",English,Metro Goldwyn Mayer 1,Usa
The Goodbye Girl,1977,"Richard Dreyfuss, Marsha Mason, Quinn Cummings, Paul Benedict, Barbara Rhoades, Theresa Merritt, Michael Shawn, Patricia Pearcy, Gene Castle, Daniel Levans, Marilyn Sokol, Anita Dangler, Victoria Boothby, Robert Costanzo, Pancho González, Jose Machado, Hubert Kelly, Dana Laurita, David S. Cass Sr., Clarence Felder, Loyita Chapel, Caprice Clark, Esther Sutherland, Kensuke Haga, Ryohei Kanokogi, Ruby Holbrook, Kristina Hurrell, David Matthau, Milt Oberman, Eddie Villery, Joseph Carberry, Eric Uhler, Raymond J. Barry, Powers Boothe, Tom Everett, Janice Fuller, Munson Hicks, Robert Kerman, Jeanne Lange, Robert Lesser, Fred McCarren, Nicholas Mele, Maureen Moore, Joe Regalbuto, Peter Vogt, Wendy Cutler, Susan Elliot, Andy Goldberg, Nicol Williamson, Paul Willson","Romance, Comedy, Drama","Relationship Comedy, Crude Humor And Satire, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Charming Witty Delightful Lovely Charm, Quirky Humor Relationships Endearing Humorous, Comedy Funny Hilarious Broadway Musical, Gag Chuckles Slapstick Amusing Jokes",English,"Metro Goldwyn Mayer 1, Rastar Productions",Usa
Vada Chennai,2018,"Dhanush, Andrea Jeremiah, Samuthirakani, Daniel Balaji, Kishore, Pawan, Ameer, Aishwarya Rajesh, Subramaniam Siva, Pavel Navageethan, Boxer Dheena, Joy Badlani, Vincent Asokan, Radha Ravi, Hari Krishnan, Cheenu Mohan, Sentrayan, Rajesh Sharma, Munnar Ramesh, Ragavendar, Saran Shakthi, Subathra Robert","Crime, Drama, Action","Crime Drugs And Gangsters, Bollywood Climax Emotion Lyrics Catchy",Tamil,"Wunderbar Films, Grassroot Film Company, Lyca Productions",India
The Big House,1930,"Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery, Leila Hyams, George F. Marion, J. C. Nugent, Karl Dane, DeWitt Jennings, Matthew Betz, Claire McDowell, Robert Emmett O'Connor, Tom Wilson, Eddie Foyer, Roscoe Ates, Fletcher Norton, Noah Beery Jr., Chris-Pin Martin, Louis Natheaux, Herbert Prior, Harry Wilson, Angelo Rossitto","Drama, Crime","Crime Drugs And Gangsters, Prison Jail Convicts Brutal Brutality, Ruthless Underworld Gritty Stylish Violence",English,"Metro Goldwyn Mayer 1, Cosmopolitan Productions",Usa
A Christmas Story,1983,"Peter Billingsley, Melinda Dillon, Darren McGavin, Jean Shepherd, Ian Petrella, Scott Schwartz, Tedde Moore, R.D. Robb, Zack Ward, Yano Anaya, Jeff Gillen, Leslie Carlson, Jim Hunter, Patty Johnson, Drew Hocevar, David Edward, Dwayne McLean, Helen E. Kaider, John Wong, Johan Sebastian Wong, Fred Lee, Dan Ma, Rocco Bellusci, Tommy Wallace, Court Benson, Leigh Brown, Bob Clark, Giada Dobrzenska, Dave Duff, Jordan-Patrick Marcantonio, Gary A. Jones, Kristephan Warren-Stevens, Don Geyer, Kathryn Hayzer, John Kennedy, Bill Kravitz, Julie Matthews, Christine Powrie, Quinn Smith, Lori Randolph","Family, Comedy","Crude Humor And Satire, Christmas Holiday Heartwarming Family Adorable, Humor Cartoon Funny Jokes Lovable, Family Touching Kids Cry Tear Jerker, Dog Animals Adorable Heartwarming Family, Quirky Humor Relationships Endearing Humorous",English,"Christmas Tree Films, Metro Goldwyn Mayer 1, Mgm 1, United Artists","Usa, Canada"
Henry V,1989,"Kenneth Branagh, Derek Jacobi, Brian Blessed, James Larkin, Paul Scofield, Emma Thompson, Judi Dench, Simon Shepherd, James Simmons, Charles Kay, Alec McCowen, Fabian Cartwright, Stephen Simms, Jay Villiers, Ian Holm, Danny Webb, Michael Williams, Jimmy Yuill, Paul Gregory, Edward Jewesbury, John Sessions, Shaun Prendergast, Richard Briers, Robbie Coltrane, Christian Bale, Geraldine McEwan, Michael Maloney, Richard Clifford, David Parfitt, Christopher Ravenscroft, Patrick Doyle, Geoffrey Hutchings, Robert Stephens, Harold Innocent, Colin Hurley, Richard Easton, Nicholas Ferguson, Tom Whitehouse, Nigel Greaves, Julian Gartside, Mark Inman, Stefano Douaihy, Calum Yuill","War, History, Drama","Epic History And Literature, War And Historical Adventure, Shakespearean Breathtaking Kings Captivating Tragic, Fought Army Fighting Heroic Battle, Fought Army Battlefield Conflict Battle, Royalty Sumptuous Lavish Drama Kings, Historical Propaganda Political Patriotism Historic",English,"Bbc Film, Renaissance Films, Curzon Film Distributors",Uk
Adaptation.,2002,"Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton, Jay Tavare, Litefoot, Roger Willie, Jim Beaver, Cara Seymour, Doug Jones, Gary Farmer, Peter Jason, Gregory Itzin, Curtis Hanson, Agnes NaDene Baddoo, Paul Fortune, Paul Jasmin, Lisa Love, Wendy Mogel, David O. Russell, Judy Greer, Maggie Gyllenhaal, Bob Stephenson, Bob Yerkes, Lynn Court, Roger E. Fanter, Sandra Lee Gimpel, Caron Colvett, Larry Krask, Ron Livingston, Brian Cox, John Etter, Ray Berrios, Nancy Lenehan, John Cusack, Catherine Keener, John Malkovich, Curt Clendenin, Donald Dowd","Drama, Comedy, Crime","Humanity And The World Around Us, Weird Surreal Dream Bizarre Confusing, Death Symbolism Philosophical Thought Provoking Surreal","English, English, Latin","Columbia Pictures, Propaganda Films, Good Machine, Intermedia, Beverly Detroit Studios 1, Clinica Estetico",Usa
Fellini Satyricon,1969,"Martin Potter, Hiram Keller, Max Born, Salvo Randone, Mario Romagnoli, Magali Noël, Capucine, Fanfulla, Gordon Mitchell, George Eastman, Carlo Giordana, Donyale Luna, Elisa Mainardi, Marcella Di Falco, Tanya Lopert, Hylette Adolphe, Joseph Wheeler, Lucía Bosè, Giuseppe Sanvitale, Danika La Loggia, Alain Cuny, Richard Simmons, Eugenio Mastropietro, Maria Mascarielli, Dalia Zagni, Ottaviano Dell'Acqua, Genius, Catharina Dahlin, René Fiorentini, Nadia Balabine, Alvaro Vitali","Fantasy, Drama","Humanity And The World Around Us, Intense Violence And Sexual Transgression, Epic History And Literature, Death Symbolism Philosophical Thought Provoking Surreal, Weird Surreal Dream Bizarre Confusing, Powerful Complexity Intellectual Poetic Emotional, Sexuality Sex Disturbed Unconventional Or Challenging, Documentary Sad Fascinating Emotional Heartbreaking","Italian, Latin, Italian",Pea,Italy
Phantom Thread,2017,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford, Gina McKee, Brian Gleeson, Harriet Sansom Harris, Lujza Richter, Julia Davis, Julie Vollono, Sue Clark, Joan Brown, Harriet Leitch, Dinah Nicholson, Julie Duck, Maryanne Frost, Elli Banks, Amy Cunningham, Amber Brabant, Geneva Corlett, Juliet Glaves, Philip Franks, Tony Hansford, Steven F. Thompson, George Glasgow, Niki Angus-Campbell, Georgia Kemball, Nick Ashley, Ingrid Sophie Schram, Ellie Blackwell, Zarene Dallas, Pauline Moriarty, Eric Sigmundsson, Phyllis MacMahon, Richard Graham, Silas Carson, Martin Dew, James Thomson, Tim Ahern, Leopoldine Hugo, Delia Remy, Alice Grenier, Emma Clandon, Ian Harrod, Sarah Lamesch, Nicholas Mander, Jordon Stevens, Michael Stevenson, Jane Perry, Charlotte Melen, Dave Simon, David Charles-Cully, Louis Hannan, Evie Wray, Jonathan Wayre, Cécile van Dijk, Jack Tyson, Joshua Tomkins","Drama, Romance","Humanity And The World Around Us, Moving Relationship Stories, Romance Captivating Loves Lover Beauty, Marriage Romance Affair Passionate Passion, Charming Witty Delightful Lovely Charm, Anime Graphics Storytelling Emotion Breathtaking, Death Symbolism Philosophical Thought Provoking Surreal",English,"Annapurna Pictures, Joanne Sellar Productions, Ghoulardi Film Company, Perfect World Pictures","China, Usa"
"Objective, Burma!",1945,"Errol Flynn, Henry Hull, George Tobias, Anthony Caruso, James Brown, Richard Erdman, Joel Allen, John Alvin, William Hudson, George Tyne, John Whitney, William Prince, Rodd Redwing, Frank Tang, Warner Anderson, Mark Stevens, Hugh Beaumont, Erville Alderson, Carlyle Blackwell Jr., Truman Bradley, Tom Daly, Lester Matthews","Action, Adventure, Drama, War","War And Historical Adventure, Epic Heroes, Fought Army Battlefield Conflict Battle, Duty Heroic Battle Pilot Patriotism, Fought Army Fighting Heroic Battle, Nazi Hitler Jewish Historical Holocaust, Epic Exciting Breathtaking Spectacle Excitement","English, English, Japanese",Warner Bros Pictures 1,Usa
The Duellists,1977,"Keith Carradine, Harvey Keitel, Albert Finney, Edward Fox, Cristina Raines, Robert Stephens, Tom Conti, John McEnery, Diana Quick, Alun Armstrong, Maurice Colbourne, Gay Hamilton, Meg Wynn Owen, Jenny Runacre, Alan Webb, Arthur Dignam, Matthew Guinness, Dave Hill, Neville Jason, Timothy Penrose, William Morgan Sheppard, Liz Smith, Anthony Douse, Hugh Fraser, Richard Graydon, Tim Hardy, William Hobbs, Michael Irving, Tony Mathews, Stacy Keach, Pete Postlethwaite, George Oliver","War, Drama","Epic History And Literature, Fought Army Fighting Heroic Battle, Fought Army Battlefield Conflict Battle, Historical Propaganda Political Patriotism Historic","English, English, Russian","Enigma Productions 1, Paramount 1","Uk, Usa"
Hôtel du Nord,1938,"Annabella, Jean-Pierre Aumont, Louis Jouvet, Arletty, Paulette Dubost, Andrex, André Brunot, Henri Bosc, Marcel André, Bernard Blier, Jacques Louvigny, Armand Lurville, Jane Marken, Génia Vaury, François Périer, René Bergeron, René Alié, Charles Bouillaud, Albert Malbert, Marcel Melrac, Marcel Pérès, Raymone, Dora Doll","Drama, Romance",,French,"Societe Dexploitation Et De Distribution De Films Sedif, Imperial Film",France
The Spiral Staircase,1946,"Dorothy McGuire, George Brent, Ethel Barrymore, Kent Smith, Rhonda Fleming, Gordon Oliver, Elsa Lanchester, Sara Allgood, Rhys Williams, James Bell, Erville Alderson, Ellen Corby, Myrna Dell, George Holmes, Stanley Price, Robert Siodmak, Richard Tyler, Charles Wagenheim, Larry Wheat","Horror, Mystery, Thriller","Horror The Undead And Monster Classics, Supernatural Chilling Eerie Terrifying Dread, Chilling Eerie Terrifying Terror Frighten, Thriller Suspense Twist Psychological Intriguing, Killing Slasher Gruesome Gory Bloody, Murderer Clues Suspects Suspense Intriguing",English,"Rko Radio Pictures, Dore Schary Productions, Vanguard Films 1",Usa
The Cousins,1959,"Gérard Blain, Jean-Claude Brialy, Juliette Mayniel, Guy Decomble, Geneviève Cluny, Michèle Méritz, Corrado Guarducci, Stéphane Audran, Paul Bisciglia, Jeanne Pérez, Françoise Vatel, André Chanal, Gilbert Edard, Clara Gansard, Jean-Louis Maury, Virginie Vitry, Jean-Marie Arnoux, Robert Barre, Michel Benoist, Gaby Blondé, Chantal Bouchon, Catherine Candida, Jacques Deschamps, Abdou Filali, Yann Groël, André Jocelyn, Jacques Kemp, Jean-Pierre Moulin, Sabine Moussali, Christian Pezey, Emmanuel Pierson, Jacques Ralf, Taty Rocca, Colette Teissèdre, Jean-Paul Thomas, Simone Vannier, Anne Zamire, Claude Cerval",Drama,,"French, French, German",Ajym Films,France
